#積分器のゲインの理論値
f,Gain A,Gain B,Gain C
10,38.55492988,18.55492988,19.9828885
12.58925412,37.88962065,17.88962065,19.97291125
15.84893192,37.00786322,17.00786322,19.95714519
19.95262315,35.89785756,15.89785756,19.93227432
25.11886432,34.57060134,14.57060134,19.89314609
31.6227766,33.05584198,13.05584198,19.83184523
39.81071706,31.39248411,11.39248411,19.73642828
50.11872336,29.61915381,9.619153814,19.5893699
63.09573445,27.76850981,7.768509808,19.36604181
79.43282347,25.86546038,5.865460378,19.03405582
100,23.92776473,3.927764734,18.55492988
125.8925412,21.96754106,1.967541059,17.88962065
158.4893192,19.99282697,-0.007173026776,17.00786322
199.5262315,18.00885739,-1.991142609,15.89785756
251.1886432,16.01900243,-3.980997569,14.57060134
316.227766,14.02541573,-5.974584266,13.05584198
398.1071706,12.02946713,-7.970532867,11.39248411
501.1872336,10.03202534,-9.967974661,9.619153814
630.9573445,8.033640234,-11.96635977,7.768509808
794.3282347,6.034659472,-13.96534053,5.865460378
1000,4.035302691,-15.96469731,3.927764734
1258.925412,2.035708584,-17.96429142,1.967541059
1584.893192,0.03596470487,-19.9640353,-0.007173026776
1995.262315,-1.963873686,-21.96387369,-1.991142609
2511.886432,-3.963771715,-23.96377171,-3.980997569
3162.27766,-5.963707374,-25.96370737,-5.974584266
3981.071706,-7.963666777,-27.96366678,-7.970532867
5011.872336,-9.963641162,-29.96364116,-9.967974661
6309.573445,-11.963625,-31.963625,-11.96635977
7943.282347,-13.9636148,-33.9636148,-13.96534053
10000,-15.96360837,-35.96360837,-15.96469731
12589.25412,-17.96360431,-37.96360431,-17.96429142
15848.93192,-19.96360175,-39.96360175,-19.9640353
19952.62315,-21.96360013,-41.96360013,-21.96387369
25118.86432,-23.96359911,-43.96359911,-23.96377171
31622.7766,-25.96359847,-45.96359847,-25.96370737
39810.71706,-27.96359806,-47.96359806,-27.96366678
50118.72336,-29.96359781,-49.96359781,-29.96364116
63095.73445,-31.96359764,-51.96359764,-31.963625
79432.82347,-33.96359754,-53.96359754,-33.9636148
100000,-35.96359748,-55.96359748,-35.96360837
125892.5412,-37.96359744,-57.96359744,-37.96360431
158489.3192,-39.96359741,-59.96359741,-39.96360175
199526.2315,-41.96359739,-61.96359739,-41.96360013
251188.6432,-43.96359738,-63.96359738,-43.96359911
316227.766,-45.96359738,-65.96359738,-45.96359847
398107.1706,-47.96359737,-67.96359737,-47.96359806
501187.2336,-49.96359737,-69.96359737,-49.96359781
630957.3445,-51.96359737,-71.96359737,-51.96359764
794328.2347,-53.96359737,-73.96359737,-53.96359754
1000000,-55.96359737,-75.96359737,-55.96359748
